kind	name	source_path	capture_path	nsq_body	sha256	status
cpan_source	ASP	/data/data/com.termux/files/usr/lib/perl5/site_perl/5.42.0/ASP.pm	state/nsq/stamps/foreign_tool_absorption/20260428_141459/source_capture/ASP.source	state/nsq/stamps/foreign_tool_absorption/20260428_141459/nsq_bodies/ASP.translated.nsq	c306ed1ced9755c9132e1e50dec01dd0df2a8c635a77299f86734b3b5396b35b	captured_translated_to_nsq_stamp_body
cpan_source	Aard	/data/data/com.termux/files/usr/lib/perl5/site_perl/5.42.0/Aard.pm	state/nsq/stamps/foreign_tool_absorption/20260428_141459/source_capture/Aard.source	state/nsq/stamps/foreign_tool_absorption/20260428_141459/nsq_bodies/Aard.translated.nsq	196517e1ac52273574df77e053c50a82cae742a07420e94c531f43c29334eceb	captured_translated_to_nsq_stamp_body
cpan_source	Acme::Damn	/data/data/com.termux/files/usr/lib/perl5/site_perl/5.42.0/aarch64-android/Acme/Damn.pm	state/nsq/stamps/foreign_tool_absorption/20260428_141459/source_capture/Acme__Damn.source	state/nsq/stamps/foreign_tool_absorption/20260428_141459/nsq_bodies/Acme__Damn.translated.nsq	6f62e8706e25a2065ea370b8b279f6c90f95b29d1da2d1e1f6428d6ace78aa07	captured_translated_to_nsq_stamp_body
cpan_source	Adapter::Async	/data/data/com.termux/files/usr/lib/perl5/site_perl/5.42.0/Adapter/Async.pm	state/nsq/stamps/foreign_tool_absorption/20260428_141459/source_capture/Adapter__Async.source	state/nsq/stamps/foreign_tool_absorption/20260428_141459/nsq_bodies/Adapter__Async.translated.nsq	ee169508a18d045a171c39af466e1234cdf05c0ed1b6cebb9e897a6d80df5a91	captured_translated_to_nsq_stamp_body
cpan_source	Algorithm::Backoff	/data/data/com.termux/files/usr/lib/perl5/site_perl/5.42.0/Algorithm/Backoff.pm	state/nsq/stamps/foreign_tool_absorption/20260428_141459/source_capture/Algorithm__Backoff.source	state/nsq/stamps/foreign_tool_absorption/20260428_141459/nsq_bodies/Algorithm__Backoff.translated.nsq	ac435b111380fe4d65fad7a59915b2078b42c0066577069c0ef9f42ce836f417	captured_translated_to_nsq_stamp_body
cpan_source	Algorithm::Diff	/data/data/com.termux/files/usr/lib/perl5/site_perl/5.42.0/Algorithm/Diff.pm	state/nsq/stamps/foreign_tool_absorption/20260428_141459/source_capture/Algorithm__Diff.source	state/nsq/stamps/foreign_tool_absorption/20260428_141459/nsq_bodies/Algorithm__Diff.translated.nsq	9b2aed2145f847b3f269feab57113fe8ee0611d2c9000f36e76a616f42ac67de	captured_translated_to_nsq_stamp_body
cpan_source	Alien::Build	/data/data/com.termux/files/usr/lib/perl5/site_perl/5.42.0/Alien/Build.pm	state/nsq/stamps/foreign_tool_absorption/20260428_141459/source_capture/Alien__Build.source	state/nsq/stamps/foreign_tool_absorption/20260428_141459/nsq_bodies/Alien__Build.translated.nsq	28fb9ab21a1d4d54ff28d6f7d93a07e832817d11702b7cc762024822cb510e37	captured_translated_to_nsq_stamp_body
cpan_source	Alien::Build::Plugin::Download::GitLab	/data/data/com.termux/files/usr/lib/perl5/site_perl/5.42.0/Alien/Build/Plugin/Download/GitLab.pm	state/nsq/stamps/foreign_tool_absorption/20260428_141459/source_capture/Alien__Build__Plugin__Download__GitLab.source	state/nsq/stamps/foreign_tool_absorption/20260428_141459/nsq_bodies/Alien__Build__Plugin__Download__GitLab.translated.nsq	45a17e282444814957a2a02a88f3c5cec95c80d9fc02b6d44b225abe739bd551	captured_translated_to_nsq_stamp_body
cpan_source	Alien::Libxml2	/data/data/com.termux/files/usr/lib/perl5/site_perl/5.42.0/aarch64-android/Alien/Libxml2.pm	state/nsq/stamps/foreign_tool_absorption/20260428_141459/source_capture/Alien__Libxml2.source	state/nsq/stamps/foreign_tool_absorption/20260428_141459/nsq_bodies/Alien__Libxml2.translated.nsq	fd60cd4a5ed7cbf028f508f5d467a8a2a0145f80b2443c3ed2ee3394045c7478	captured_translated_to_nsq_stamp_body
cpan_source	Any::Moose	/data/data/com.termux/files/usr/lib/perl5/site_perl/5.42.0/Any/Moose.pm	state/nsq/stamps/foreign_tool_absorption/20260428_141459/source_capture/Any__Moose.source	state/nsq/stamps/foreign_tool_absorption/20260428_141459/nsq_bodies/Any__Moose.translated.nsq	bc4715d0f0c30cd61210bb406785be1614838744b2794bc69b30158d05536e39	captured_translated_to_nsq_stamp_body
